camera_scene,cell,executions,lidar_scene,maximum,mean,metric,minimum,model_id,mps_enabled,pair,range,std
scene-0245,BA,3,scene-0184,0.17229171086553288,0.15636239493273651,R,0.14452853340460442,centerpoint,True,centerpoint+dino,0.027763177460928462,0.014327528250443774
scene-0245,AA,3,scene-0245,2.239133139170575,2.1249132836727136,R,2.0520296554357103,yolov3,True,centerpoint+yolov3,0.18710348373486463,0.10016706629202873
scene-0245,AA,3,scene-0245,0.18291315726661506,0.1740280350021365,R,0.16822979032513233,centerpoint,True,centerpoint+yolov3,0.014683366941482728,0.007813253235022882
scene-0184,AB,3,scene-0245,2.2487720852940414,2.0455892487577256,R,1.8319155676937935,yolov3,True,centerpoint+yolov3,0.4168565176002479,0.2086261786800219
scene-0184,AB,3,scene-0245,0.18779251884983691,0.18023352958415337,R,0.1676423812007593,centerpoint,True,centerpoint+yolov3,0.02015013764907761,0.01097720277933596
scene-0184,BB,3,scene-0184,3.78352655476857,3.557222457696888,R,3.321172367329916,yolov3,True,centerpoint+yolov3,0.46235418743865386,0.23133111971695103
scene-0184,BB,3,scene-0184,0.05798363159408579,0.054920224311281594,R,0.050700295476535984,centerpoint,True,centerpoint+yolov3,0.007283336117549805,0.003776890629258422
scene-0245,BA,3,scene-0184,3.748018603409141,3.668110067518444,R,3.5185305817571826,yolov3,True,centerpoint+yolov3,0.22948802165195836,0.1296407303370836
scene-0245,BA,3,scene-0184,0.056489654362691585,0.04849028228792788,R,0.04273383702508442,centerpoint,True,centerpoint+yolov3,0.013755817337607168,0.007146934179711359
scene-0184,AA,3,scene-0184,0.296588333815319,0.2846840617828619,R,0.2766565359811246,vit-upernet,True,pointpillars+vit-upernet,0.01993179783419441,0.010516226140058494
scene-0184,AA,3,scene-0184,0.4416212409342787,0.4261412572686609,R,0.41147107232870644,pointpillars,True,pointpillars+vit-upernet,0.030150168605572236,0.015091388180620528
scene-0398,AB,3,scene-0184,0.30422243589345704,0.2959208135551232,R,0.2904927405826024,vit-upernet,True,pointpillars+vit-upernet,0.013729695310854662,0.00730199272805376
scene-0398,AB,3,scene-0184,0.45290376292103174,0.44008967262737925,R,0.4238170251856338,pointpillars,True,pointpillars+vit-upernet,0.02908673773539794,0.014848595596281948
scene-0398,BB,3,scene-0398,0.23853567907255302,0.23129646493441638,R,0.22692970452289962,vit-upernet,True,pointpillars+vit-upernet,0.011605974549653397,0.006313707636601477
scene-0398,BB,3,scene-0398,0.6260315692263196,0.6172489623646765,R,0.6053936093708105,pointpillars,True,pointpillars+vit-upernet,0.02063795985550909,0.010656578876178732
scene-0184,BA,3,scene-0398,0.2225378725640668,0.2182384296111444,R,0.21548333419673715,vit-upernet,True,pointpillars+vit-upernet,0.007054538367329638,0.0037723182373468746
scene-0184,BA,3,scene-0398,0.48160683856737146,0.47709685290118786,R,0.47225228098344,pointpillars,True,pointpillars+vit-upernet,0.009354557583931444,0.004686245604700443
scene-0184,AA,3,scene-0184,0.22310498818719188,0.21976042153894068,R,0.21545841146033198,mask-rcnn,True,pointpillars+mask-rcnn,0.007646576726859894,0.003912167858322265
scene-0184,AA,3,scene-0184,0.1651149720189424,0.15960824657271513,R,0.15295865221110583,pointpillars,True,pointpillars+mask-rcnn,0.012156319807836574,0.006158217261181187
scene-0398,AB,3,scene-0184,0.11302115895066218,0.10504666353491954,R,0.09731183487262178,mask-rcnn,True,pointpillars+mask-rcnn,0.015709324078040404,0.007857403888165297
scene-0398,AB,3,scene-0184,0.30468146814960495,0.28777476389033424,R,0.2714631343638759,pointpillars,True,pointpillars+mask-rcnn,0.033218333785729026,0.016617160116224747
scene-0398,BB,3,scene-0398,0.1409260667688121,0.13552590256835859,R,0.12987460086772354,mask-rcnn,True,pointpillars+mask-rcnn,0.011051465901088575,0.005530011498516883
scene-0398,BB,3,scene-0398,0.3898090953043549,0.3611997253713601,R,0.3434242080991221,pointpillars,True,pointpillars+mask-rcnn,0.046384887205232816,0.025018367510027208
scene-0184,BA,3,scene-0398,0.18325869940067002,0.17036360475092086,R,0.1600792738634643,mask-rcnn,True,pointpillars+mask-rcnn,0.023179425537205728,0.01180819662885029
scene-0184,BA,3,scene-0398,0.17944651520003546,0.16976833233180447,R,0.15950345570713784,pointpillars,True,pointpillars+mask-rcnn,0.019943059492897625,0.009984466067707073
scene-0770,AA,3,scene-0770,30.115129000000003,30.057203500000004,P50_ms,29.9741995,yolov3,False,3dssd+yolov3,0.14092950000000215,0.07373587569324773
scene-0770,AA,3,scene-0770,45.307574,45.21346966666667,P50_ms,45.107483,3dssd,False,3dssd+yolov3,0.20009100000000046,0.10057332874243233
scene-0398,AB,3,scene-0770,29.1816,29.070018333333337,P50_ms,28.999139,yolov3,False,3dssd+yolov3,0.18246099999999998,0.09780344617820609
scene-0398,AB,3,scene-0770,45.275155999999996,45.11499083333333,P50_ms,45.004348,3dssd,False,3dssd+yolov3,0.2708079999999953,0.14203376126851977
scene-0398,BB,3,scene-0398,29.932127,29.630075,P50_ms,29.446421,yolov3,False,3dssd+yolov3,0.4857060000000004,0.2636117304142598
