camera_scene,lidar_scene,metric,model_id,off_executions,off_maximum,off_mean,off_minimum,off_range,off_std,on_executions,on_maximum,on_mean,on_minimum,on_minus_off_mean,on_range,on_std,pair
scene-0398,scene-0398,R,vit-upernet,3,0.3605828007418466,0.3195770639892994,0.28578866779491174,0.07479413294693488,0.03791580256793048,3,0.2520154796102756,0.2444696628378146,0.23587512254151322,-0.07510740115148481,0.01614035706876238,0.008121123527497847,pointpillars+vit-upernet
scene-0398,scene-0398,P50_ms,vit-upernet,3,40.241259,39.511404,38.491509,1.7497499999999988,0.910219021348707,3,34.77393,34.69591466666667,34.594411,-4.815489333333332,0.1795189999999991,0.09203555939055967,pointpillars+vit-upernet
scene-0398,scene-0398,P99_ms,vit-upernet,3,52.37088512,52.11548398666667,51.7417548,0.6291303199999945,0.3308358898911447,3,43.312738079999995,43.17754262666667,42.976235,-8.937941359999996,0.33650307999999285,0.17772646204072454,pointpillars+vit-upernet
scene-0398,scene-0398,throughput_hz,vit-upernet,3,11.865586157098575,11.864476524352767,11.862410058167036,0.0031760989315383625,0.0017912422447974327,3,11.867046361047645,11.866096354073184,11.86544146697042,0.0016198297204166323,0.001604894077225083,0.0008421656925942903,pointpillars+vit-upernet
scene-0398,scene-0398,unique_source_count,vit-upernet,3,229.0,229.0,229.0,0.0,0.0,3,229.0,229.0,229.0,0.0,0.0,0.0,pointpillars+vit-upernet
scene-0398,scene-0398,R,pointpillars,3,0.6299538006503475,0.6273749781574572,0.6230479134200152,0.006905887230332253,0.0037702894873925604,3,0.6698531451471755,0.6412300761551459,0.6224523569388527,0.013855097997688692,0.04740078820832283,0.02518743466190063,pointpillars+vit-upernet
scene-0398,scene-0398,P50_ms,pointpillars,3,60.596524,60.449648333333336,60.231089,0.36543500000000506,0.1929756353955969,3,31.8079635,31.357851666666665,31.003533,-29.09179666666667,0.8044304999999987,0.41068157423675905,pointpillars+vit-upernet
scene-0398,scene-0398,P99_ms,pointpillars,3,98.7695346,98.37414063333334,98.12386568000001,0.6456689199999914,0.34643431496695004,3,52.203046709999995,51.46288075333333,50.5786902,-46.91125988000001,1.6243565099999984,0.8216999642379151,pointpillars+vit-upernet
scene-0398,scene-0398,throughput_hz,pointpillars,3,17.947484835029726,17.807543537605564,17.634877929350324,0.3126069056794023,0.15885191141166422,3,19.7812277326163,19.732372928874707,19.68299766692404,1.9248293912691423,0.09823006569225967,0.04911710098363864,pointpillars+vit-upernet
scene-0398,scene-0398,unique_source_count,pointpillars,3,347.0,344.3333333333333,341.0,6.0,3.055050463303893,3,382.0,381.0,380.0,36.666666666666686,2.0,1.0,pointpillars+vit-upernet
scene-0184,scene-0184,R,mask-rcnn,3,0.13301808150886266,0.12109844483195642,0.10860328245853089,0.024414799050331767,0.012217570361472682,3,0.27229240102360636,0.25054451160547947,0.23670061256370648,0.12944606677352305,0.03559178845989988,0.019066951758099297,pointpillars+mask-rcnn
scene-0184,scene-0184,P50_ms,mask-rcnn,3,52.494603999999995,52.2504765,51.994444,0.5001599999999939,0.2502924353006869,3,39.387087,39.110062166666665,38.8499395,-13.140414333333332,0.5371475000000032,0.26897234359239286,pointpillars+mask-rcnn
