A,B,contrast,effect,executions,maximum,mean,metric,minimum,model_id,mps_enabled,pair,range,std
scene-0245,scene-0184,BB-AB,own_input,3,0.006433195127413194,-0.048208985894244154,R,-0.1376184053170827,centerpoint,False,centerpoint+dino,0.1440516004444959,0.07806591155676464
scene-0245,scene-0184,BB-BA-AB+AA,interaction,3,0.05368726983169289,-0.022397110371168275,R,-0.09423910175433185,centerpoint,False,centerpoint+dino,0.14792637158602473,0.07405438035541712
scene-0245,scene-0184,AB-AA,co_runner,3,0.9291740000000175,0.3953905000000096,P50_ms,-0.05616199999997207,centerpoint,False,centerpoint+dino,0.9853359999999896,0.4977883197150654
scene-0245,scene-0184,BB-BA,co_runner,3,12.552211999999997,2.2256715000000136,P50_ms,-3.376126499999941,centerpoint,False,centerpoint+dino,15.928338499999938,8.953791689062514
scene-0245,scene-0184,BA-AA,own_input,3,85.59952349999998,76.98127550000002,P50_ms,64.36021500000004,centerpoint,False,centerpoint+dino,21.239308499999936,11.171120683358483
scene-0245,scene-0184,BB-AB,own_input,3,81.91023750000005,78.81155650000002,P50_ms,76.96858900000001,centerpoint,False,centerpoint+dino,4.941648500000042,2.6995526981242426
scene-0245,scene-0184,BB-BA-AB+AA,interaction,3,12.60837399999997,1.830281000000004,P50_ms,-3.6892859999999246,centerpoint,False,centerpoint+dino,16.297659999999894,9.335014844037818
scene-0245,scene-0184,AB-AA,co_runner,3,25.800978920000034,4.721874983333407,P99_ms,-9.881747389999873,centerpoint,False,centerpoint+dino,35.68272630999991,18.70195538804412
scene-0245,scene-0184,BB-BA,co_runner,3,3.4587362000000326,1.4752149766666776,P99_ms,-0.9217357999999649,centerpoint,False,centerpoint+dino,4.3804719999999975,2.219307714665322
scene-0245,scene-0184,BA-AA,own_input,3,78.92530089000002,75.9633372866667,P99_ms,73.92888181999999,centerpoint,False,centerpoint+dino,4.99641907000003,2.6241673705105124
scene-0245,scene-0184,BB-AB,own_input,3,83.99584074,72.71667727999997,P99_ms,55.01296649999995,centerpoint,False,centerpoint+dino,28.982874240000058,15.522817270170515
scene-0245,scene-0184,BB-BA-AB+AA,interaction,3,8.960011589999908,-3.2466600066667297,P99_ms,-23.91233439000007,centerpoint,False,centerpoint+dino,32.87234597999998,17.9948278309583
scene-0245,scene-0184,AB-AA,co_runner,3,25.48781942000005,4.326484483333398,P99_minus_P50_ms,-10.81092138999989,centerpoint,False,centerpoint+dino,36.29874080999994,18.884264272614462
scene-0245,scene-0184,BB-BA,co_runner,3,5.264771029999906,-0.7504565233333361,P99_minus_P50_ms,-9.093475799999965,centerpoint,False,centerpoint+dino,14.358246829999871,7.456793797485277
scene-0245,scene-0184,BA-AA,own_input,3,9.568666819999947,-1.0179382133333188,P99_minus_P50_ms,-6.674222609999958,centerpoint,False,centerpoint+dino,16.242889429999906,9.175451511727163
scene-0245,scene-0184,BB-AB,own_input,3,6.4399977399999955,-6.0948792200000526,P99_minus_P50_ms,-26.897271000000103,centerpoint,False,centerpoint+dino,33.3372687400001,18.14131259680337
scene-0245,scene-0184,BB-BA-AB+AA,interaction,3,12.38825658999994,-5.0769410066667335,P99_minus_P50_ms,-20.223048390000145,centerpoint,False,centerpoint+dino,32.611304980000085,16.428875119369195
scene-0245,scene-0184,AB-AA,co_runner,3,-0.017189440244503196,-0.03934035084833276,throughput_hz,-0.05353846275020935,centerpoint,False,centerpoint+dino,0.03634902250570615,0.019435743224158468
scene-0245,scene-0184,BB-BA,co_runner,3,0.022648607724530034,0.012413636627556013,throughput_hz,0.005569171171840637,centerpoint,False,centerpoint+dino,0.017079436552689398,0.009030417189526223
scene-0245,scene-0184,BA-AA,own_input,3,-0.932028585004312,-0.9638554708042842,throughput_hz,-0.9874309078247894,centerpoint,False,centerpoint+dino,0.05540232282047741,0.028608025948957515
scene-0245,scene-0184,BB-AB,own_input,3,-0.8791662642821856,-0.9121014833283955,throughput_hz,-0.9322688716147183,centerpoint,False,centerpoint+dino,0.05310260733253269,0.02876169072069876
scene-0245,scene-0184,BB-BA-AB+AA,interaction,3,0.06256159373650672,0.05175398747588863,throughput_hz,0.039838047969032786,centerpoint,False,centerpoint+dino,0.02272354576747393,0.011402244735145686
scene-0245,scene-0184,AB-AA,co_runner,3,-1.0,-1.0,analysis_count,-1.0,centerpoint,False,centerpoint+dino,0.0,0.0
scene-0245,scene-0184,BB-BA,co_runner,3,0.0,0.0,analysis_count,0.0,centerpoint,False,centerpoint+dino,0.0,0.0
scene-0245,scene-0184,BA-AA,own_input,3,-18.0,-18.666666666666668,analysis_count,-19.0,centerpoint,False,centerpoint+dino,1.0,0.5773502691896258
scene-0245,scene-0184,BB-AB,own_input,3,-17.0,-17.666666666666668,analysis_count,-18.0,centerpoint,False,centerpoint+dino,1.0,0.5773502691896258
scene-0245,scene-0184,BB-BA-AB+AA,interaction,3,1.0,1.0,analysis_count,1.0,centerpoint,False,centerpoint+dino,0.0,0.0
scene-0245,scene-0184,AB-AA,co_runner,3,-1.0,-1.0,analysis_unique_source_count,-1.0,centerpoint,False,centerpoint+dino,0.0,0.0
scene-0245,scene-0184,BB-BA,co_runner,3,0.0,0.0,analysis_unique_source_count,0.0,centerpoint,False,centerpoint+dino,0.0,0.0
scene-0245,scene-0184,BA-AA,own_input,3,-18.0,-18.666666666666668,analysis_unique_source_count,-19.0,centerpoint,False,centerpoint+dino,1.0,0.5773502691896258
scene-0245,scene-0184,BB-AB,own_input,3,-17.0,-17.666666666666668,analysis_unique_source_count,-18.0,centerpoint,False,centerpoint+dino,1.0,0.5773502691896258
