component,count,covariance_share,execution_id,first_difference_pearson,mean,mps_enabled,pearson,scene_id,std,total_latency_endpoint_gap,units
"kernel:void at::native::mbtopk::radixFindKthValues<float, unsigned int, unsigned int, (int)1>(at::cuda::detail::TensorInfo<const T1, T2>, unsigned int, unsigned int *, unsigned int, T2, int, int, unsigned int, T3, unsigned int *, T3 *, short *, T1 *)",147,-3.1964741378732066e-06,i2-i20-0770,-0.07076844201373125,0.02159638775510204,False,-0.06414372494195733,scene-0770,8.442671410249364e-05,-2.560000000002144e-06,ms
"kernel:void at::native::mbtopk::radixFindKthValues<float, unsigned int, unsigned int, (int)2>(at::cuda::detail::TensorInfo<const T1, T2>, unsigned int, unsigned int *, unsigned int, T2, int, int, unsigned int, T3, unsigned int *, T3 *, short *, T1 *)",147,-5.198614857910281e-06,i2-i20-0770,0.014218094472213843,0.04650951700680271,False,-0.03476458586541872,scene-0770,0.0002533456500874868,-0.0005988599999999997,ms
"kernel:void at::native::radixSortKVInPlace<(int)-2, (int)-1, (int)32, (int)32, float, long, unsigned int>(at::cuda::detail::TensorInfo<T5, T7>, T7, T7, T7, at::cuda::detail::TensorInfo<T6, T7>, T7, bool)",147,-1.4439330260373304e-05,i2-i20-0770,-0.13084821287477,0.09585171428571429,False,-0.078243990408792,scene-0770,0.00031265035566581324,-0.0005758999999999903,ms
"kernel:void at::native::radixSortKVInPlace<(int)2, (int)-1, (int)32, (int)32, float, long, unsigned int>(at::cuda::detail::TensorInfo<T5, T7>, T7, T7, T7, at::cuda::detail::TensorInfo<T6, T7>, T7, bool)",147,1.3252150513273663e-06,i2-i20-0770,-0.04521172601336691,0.04799841496598639,False,0.014143368114033415,scene-0770,0.00015874365779981772,-0.0001717000000000038,ms
"kernel:void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(bool, bool) (instance 1)]>, unsigned int, bool, (int)4>>(T3)",147,-4.419261996458584e-06,i2-i20-0770,-0.07401447626693458,0.023650673469387755,False,-0.055255164230499275,scene-0770,0.0001355001399836269,-0.00019711999999999855,ms
"kernel:void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::sum_functor<float, float, float>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, float, (int)4>>(T3)",147,1.5645183658937732e-05,i2-i20-0770,0.39222477333305505,0.004647863945578231,False,0.4083372101421051,scene-0770,6.49119381969667e-05,0.00018943999999999992,ms
"kernel:void at::native::sbtopk::gatherTopK<float, unsigned int, (int)1, (bool)0>(at::cuda::detail::TensorInfo<const T1, T2>, T2, T2, bool, T2, T2, at::cuda::detail::TensorInfo<T1, T2>, T2, at::cuda::detail::TensorInfo<long, T2>, T2, T1 *)",147,-7.10227244850937e-05,i2-i20-0770,-0.1341950516589099,0.04340206802721088,False,-0.10401061746396685,scene-0770,0.001156864573591396,-0.0031574799999999972,ms
"kernel:void at::native::unrolled_elementwise_kernel<at::native::BUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)",147,-1.1262568001453026e-07,i2-i20-0770,-0.008156736030715664,0.010773734693877551,False,-0.003733466062394945,scene-0770,5.110790592496958e-05,-3.200000000000078e-05,ms
"kernel:void at::native::unrolled_elementwise_kernel<at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)",147,3.195221300684106e-05,i2-i20-0770,0.394815678675645,0.0017053809523809524,False,0.4017727898170181,scene-0770,0.00013473588845288478,0.0003692799999999998,ms
"kernel:void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)",147,-1.953570232956616e-06,i2-i20-0770,0.013813033187562926,0.03449828571428572,False,-0.021759557450147675,scene-0770,0.00015210442170443525,-0.00016465999999999703,ms
"kernel:void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)",147,1.7382347925428458e-06,i2-i20-0770,0.051914009147905574,0.0019663945578231295,False,0.1008597408840805,scene-0770,2.9198023841230314e-05,0.0,ms
