model_pair,model,modality,condition,condition_id,rain_rate_mm_per_hour,inference_time_range_p0_p99_ms,p0_ms,p99_ms,max_ms,min_ms,mean_ms,number_of_frames_executed,median_ms,p25_ms,p75_ms
centerpoint+faster-rcnn,centerpoint,lidar,Clear,clear,0.0,149.586,136.975,286.560,288.819,136.975,238.628,154,239.739,233.557,247.429
centerpoint+faster-rcnn,faster-rcnn,image,Clear,clear,0.0,71.948,36.635,108.583,109.117,36.635,67.122,448,62.201,40.744,95.055
centerpoint+faster-rcnn,centerpoint,lidar,7.5 mm/h,r7p5,7.5,140.712,129.740,270.452,277.514,129.740,230.834,158,236.407,224.663,241.444
centerpoint+faster-rcnn,faster-rcnn,image,7.5 mm/h,r7p5,7.5,73.026,35.712,108.737,109.104,35.712,65.016,453,57.528,40.598,92.964
centerpoint+faster-rcnn,centerpoint,lidar,15 mm/h,r15,15.0,133.448,130.851,264.299,268.315,130.851,230.900,158,235.468,228.178,240.125
centerpoint+faster-rcnn,faster-rcnn,image,15 mm/h,r15,15.0,72.572,35.905,108.478,109.297,35.905,65.804,452,57.089,40.698,95.665
centerpoint+faster-rcnn,centerpoint,lidar,25 mm/h,r25,25.0,132.066,131.123,263.189,270.644,131.123,233.882,156,238.502,230.935,243.309
centerpoint+faster-rcnn,faster-rcnn,image,25 mm/h,r25,25.0,73.889,35.835,109.723,110.255,35.835,66.539,444,58.154,40.757,98.850
centerpoint+faster-rcnn,centerpoint,lidar,50 mm/h,r50,50.0,138.494,133.203,271.697,272.398,133.203,233.124,156,237.408,229.936,243.385
centerpoint+faster-rcnn,faster-rcnn,image,50 mm/h,r50,50.0,74.063,35.770,109.833,110.055,35.770,66.176,442,57.298,40.804,98.392
centerpoint+mask-rcnn,centerpoint,lidar,Clear,clear,0.0,183.496,136.652,320.148,334.844,136.652,275.402,134,280.245,270.467,288.241
centerpoint+mask-rcnn,mask-rcnn,image,Clear,clear,0.0,101.146,49.085,150.231,157.121,49.085,89.538,382,75.878,59.084,132.480
centerpoint+mask-rcnn,centerpoint,lidar,7.5 mm/h,r7p5,7.5,169.492,130.808,300.300,305.893,130.808,264.680,139,270.686,259.889,277.976
centerpoint+mask-rcnn,mask-rcnn,image,7.5 mm/h,r7p5,7.5,96.164,50.269,146.434,176.523,50.269,87.572,387,73.373,57.963,127.630
centerpoint+mask-rcnn,centerpoint,lidar,15 mm/h,r15,15.0,162.984,129.611,292.595,292.955,129.611,265.848,138,274.104,262.793,279.845
centerpoint+mask-rcnn,mask-rcnn,image,15 mm/h,r15,15.0,93.928,49.444,143.372,190.821,49.444,88.365,387,75.300,58.452,128.823
centerpoint+mask-rcnn,centerpoint,lidar,25 mm/h,r25,25.0,164.509,132.544,297.054,301.867,132.544,271.551,136,278.257,267.892,284.690
