adverse_p0_p99_range_ms,adverse_width_ms,analysis_scope,camera_model,clear_baseline_id,clear_p0_p99_range_ms,clear_width_ms,co_runner,condition_id,lidar_model,mps_mode,observed_label,pair_id,percentage_change,target_model,variation_change_ms,variation_factor
45.324422039999995,45.324422039999995,single-run exploratory descriptive,deeplabv3plus,clear,49.208495,49.208495,centerpoint,r50,centerpoint,on,observed_damping,centerpoint+deeplabv3plus,-7.893094393559497,deeplabv3plus,-3.8840729600000046,0.921069056064405
45.47683357,45.47683357,single-run exploratory descriptive,deeplabv3plus,clear,49.208495,49.208495,centerpoint,r7p5,centerpoint,on,observed_damping,centerpoint+deeplabv3plus,-7.583368339145514,deeplabv3plus,-3.7316614300000026,0.9241663166085449
51.24384119999999,51.24384119999999,single-run exploratory descriptive,detr,clear,53.758135899999985,53.758135899999985,detr,r15,centerpoint,on,observed_damping,centerpoint+detr,-4.677049637057806,centerpoint,-2.5142946999999936,0.9532295036294219
52.84312843000001,52.84312843000001,single-run exploratory descriptive,detr,clear,53.758135899999985,53.758135899999985,detr,r25,centerpoint,on,observed_damping,centerpoint+detr,-1.7020818424620554,centerpoint,-0.9150074699999777,0.9829791815753794
47.52755579999999,47.52755579999999,single-run exploratory descriptive,detr,clear,53.758135899999985,53.758135899999985,detr,r50,centerpoint,on,observed_damping,centerpoint+detr,-11.59002259972336,centerpoint,-6.230580099999997,0.8840997740027664
49.61068260000002,49.61068260000002,single-run exploratory descriptive,detr,clear,53.758135899999985,53.758135899999985,detr,r7p5,centerpoint,on,observed_damping,centerpoint+detr,-7.715024396893133,centerpoint,-4.147453299999967,0.9228497560310687
44.651939399999996,44.651939399999996,single-run exploratory descriptive,detr,clear,49.91522612,49.91522612,centerpoint,r15,centerpoint,on,observed_damping,centerpoint+detr,-10.544451321019089,detr,-5.2632867200000035,0.8945554867898091
47.59873891999999,47.59873891999999,single-run exploratory descriptive,detr,clear,49.91522612,49.91522612,centerpoint,r25,centerpoint,on,observed_damping,centerpoint+detr,-4.640842845088988,detr,-2.3164872000000116,0.9535915715491101
45.03720935999999,45.03720935999999,single-run exploratory descriptive,detr,clear,49.91522612,49.91522612,centerpoint,r50,centerpoint,on,observed_damping,centerpoint+detr,-9.772602749054737,detr,-4.878016760000008,0.9022739725094526
45.8374001,45.8374001,single-run exploratory descriptive,detr,clear,49.91522612,49.91522612,centerpoint,r7p5,centerpoint,on,observed_damping,centerpoint+detr,-8.169503249763089,detr,-4.077826019999996,0.9183049675023691
