clear_p0_p99_range_ms,evaluated_model,mps_mode,pair_id,r15_p0_p99_range_ms,r15_percentage_change,r25_p0_p99_range_ms,r25_percentage_change,r50_p0_p99_range_ms,r50_percentage_change,r7p5_p0_p99_range_ms,r7p5_percentage_change
19.758164840000024,pointpillars,on,pointpillars+detr,19.821039,0.31821862257515043,18.64964696,-5.610429354025093,19.85883276,0.5095003549933752,19.113935540000003,-3.260572554267749
20.570198880000007,dino,on,pointpillars+dino,18.714896800000005,-9.019368703352082,19.715256919999987,-4.15621630586791,18.811225499999992,-8.551076196498176,19.532765719999986,-5.04337933751674
49.28952881999999,pointpillars,on,pointpillars+dino,47.961644139999976,-2.694050261363423,48.36625088000003,-1.8731725827034529,48.56971195,-1.4603849686384285,49.09991647000001,-0.38469093647135466
13.091695640000005,faster-rcnn,on,pointpillars+faster-rcnn,13.355206279999997,2.0128075632530606,13.241158760000005,1.1416635713966228,12.58949784,-3.8360027135492136,13.5215362,3.2833070048365
28.426339499999994,pointpillars,on,pointpillars+faster-rcnn,28.193362499999996,-0.8195814308064486,29.44162312,3.571629825922562,28.5891428,0.572719888890405,28.094666999999998,-1.1667787897910564
20.179993099999997,mask-rcnn,on,pointpillars+mask-rcnn,19.548044669999996,-3.131559197609446,21.514551250000004,6.6132735694543365,21.350669699999976,5.801174431521372,18.053333049999992,-10.538457765875087
41.81898111999999,pointpillars,on,pointpillars+mask-rcnn,41.57718369000001,-0.5782001940844439,42.18021929,0.8638138958082964,40.956466560000024,-2.062495395392272,41.25690271,-1.3440748553559922
30.176819550000054,pointpillars,on,pointpillars+vit-upernet,30.311285919999982,0.44559490365487786,31.161127559999997,3.2618016897673296,30.582410700000025,1.344048697139688,30.107591039999996,-0.22940956347422548
12.118616920000001,vit-upernet,on,pointpillars+vit-upernet,11.946857800000004,-1.4173161932079403,11.659111959999997,-3.791727744456208,12.096548120000001,-0.1821065897675056,11.960973890000005,-1.3008335112881464
8.301104199999997,pointpillars,on,pointpillars+yolov3,8.879972999999993,6.97339517795712,9.627545209999997,15.979091191265859,9.453742759999994,13.885364310931037,10.092000080000002,21.574188648300606
12.528916239999996,yolov3,on,pointpillars+yolov3,11.443346039999998,-8.664517977494256,12.597111839999998,0.5443056581564631,12.01311332,-4.116899739126955,11.653315639999997,-6.988637989330182
