adverse_p0_p99_range_ms,adverse_width_ms,analysis_scope,camera_model,clear_baseline_id,clear_p0_p99_range_ms,clear_width_ms,co_runner,condition_id,lidar_model,mps_mode,observed_label,pair_id,percentage_change,target_model,variation_change_ms,variation_factor
34.8889,34.8889,single-run exploratory descriptive,faster-rcnn,clear,35.242646519999994,35.242646519999994,faster-rcnn,r7p5,3dssd,off,observed_damping,3dssd+faster-rcnn,-1.0037456176829496,3dssd,-0.3537465199999943,0.9899625438231705
38.562968319999996,38.562968319999996,single-run exploratory descriptive,faster-rcnn,clear,38.24119415,38.24119415,3dssd,r15,3dssd,off,observed_amplification,3dssd+faster-rcnn,0.8414333734920731,faster-rcnn,0.32177416999999764,1.0084143337349207
37.940539720000004,37.940539720000004,single-run exploratory descriptive,faster-rcnn,clear,38.24119415,38.24119415,3dssd,r25,3dssd,off,observed_damping,3dssd+faster-rcnn,-0.7862056525240413,faster-rcnn,-0.3006544299999945,0.9921379434747596
39.46907685,39.46907685,single-run exploratory descriptive,faster-rcnn,clear,38.24119415,38.24119415,3dssd,r50,3dssd,off,observed_amplification,3dssd+faster-rcnn,3.210890055325333,faster-rcnn,1.227882700000002,1.0321089005532533
38.93814492,38.93814492,single-run exploratory descriptive,faster-rcnn,clear,38.24119415,38.24119415,3dssd,r7p5,3dssd,off,observed_amplification,3dssd+faster-rcnn,1.8225130922068677,faster-rcnn,0.6969507700000008,1.0182251309220687
38.935916,38.935916,single-run exploratory descriptive,mask-rcnn,clear,43.87052500000001,43.87052500000001,mask-rcnn,r15,3dssd,off,observed_damping,3dssd+mask-rcnn,-11.24811932385128,3dssd,-4.934609000000009,0.8875188067614872
46.7877608,46.7877608,single-run exploratory descriptive,mask-rcnn,clear,43.87052500000001,43.87052500000001,mask-rcnn,r25,3dssd,off,observed_amplification,3dssd+mask-rcnn,6.649648710609224,3dssd,2.917235799999993,1.0664964871060922
37.833999999999996,37.833999999999996,single-run exploratory descriptive,mask-rcnn,clear,43.87052500000001,43.87052500000001,mask-rcnn,r50,3dssd,off,observed_damping,3dssd+mask-rcnn,-13.75986496628433,3dssd,-6.036525000000012,0.8624013503371567
44.72258528,44.72258528,single-run exploratory descriptive,mask-rcnn,clear,43.87052500000001,43.87052500000001,mask-rcnn,r7p5,3dssd,off,observed_amplification,3dssd+mask-rcnn,1.9422158271413137,3dssd,0.8520602799999892,1.0194221582714131
69.31085777999999,69.31085777999999,single-run exploratory descriptive,mask-rcnn,clear,67.787552,67.787552,3dssd,r15,3dssd,off,observed_amplification,3dssd+mask-rcnn,2.2471762662265693,mask-rcnn,1.523305779999987,1.0224717626622657
67.04415779,67.04415779,single-run exploratory descriptive,mask-rcnn,clear,67.787552,67.787552,3dssd,r25,3dssd,off,observed_damping,3dssd+mask-rcnn,-1.0966529813615455,mask-rcnn,-0.7433942100000053,0.9890334701863845
69.42775515,69.42775515,single-run exploratory descriptive,mask-rcnn,clear,67.787552,67.787552,3dssd,r50,3dssd,off,observed_amplification,3dssd+mask-rcnn,2.4196229272300585,mask-rcnn,1.6402031499999907,1.0241962292723006
68.97255238999999,68.97255238999999,single-run exploratory descriptive,mask-rcnn,clear,67.787552,67.787552,3dssd,r7p5,3dssd,off,observed_amplification,3dssd+mask-rcnn,1.7481091366154944,mask-rcnn,1.1850003899999848,1.017481091366155
68.69579886,68.69579886,single-run exploratory descriptive,vit-upernet,clear,70.80893486,70.80893486,vit-upernet,r15,3dssd,off,observed_damping,3dssd+vit-upernet,-2.984278755467773,3dssd,-2.1131359999999972,0.9701572124453223
69.50571135999999,69.50571135999999,single-run exploratory descriptive,vit-upernet,clear,70.80893486,70.80893486,vit-upernet,r25,3dssd,off,observed_damping,3dssd+vit-upernet,-1.8404788923554238,3dssd,-1.3032235000000014,0.9815952110764458
69.76706644,69.76706644,single-run exploratory descriptive,vit-upernet,clear,70.80893486,70.80893486,vit-upernet,r50,3dssd,off,observed_damping,3dssd+vit-upernet,-1.4713798789092514,3dssd,-1.0418684200000001,0.9852862012109075
68.82085860000001,68.82085860000001,single-run exploratory descriptive,vit-upernet,clear,70.80893486,70.80893486,vit-upernet,r7p5,3dssd,off,observed_damping,3dssd+vit-upernet,-2.8076629932800357,3dssd,-1.9880762599999855,0.9719233700671996
37.53513248,37.53513248,single-run exploratory descriptive,vit-upernet,clear,37.492972300000005,37.492972300000005,3dssd,r15,3dssd,off,observed_amplification,3dssd+vit-upernet,0.11244822006282185,vit-upernet,0.04216017999999622,1.0011244822006282
38.260246280000004,38.260246280000004,single-run exploratory descriptive,vit-upernet,clear,37.492972300000005,37.492972300000005,3dssd,r25,3dssd,off,observed_amplification,3dssd+vit-upernet,2.046447461835399,vit-upernet,0.7672739799999988,1.020464474618354
38.7581664,38.7581664,single-run exploratory descriptive,vit-upernet,clear,37.492972300000005,37.492972300000005,3dssd,r50,3dssd,off,observed_amplification,3dssd+vit-upernet,3.374483329506517,vit-upernet,1.265194099999995,1.0337448332950652
