condition_id,factor_change_on_minus_off,mps_off_label,mps_off_variation_factor,mps_on_label,mps_on_variation_factor,pair_id,target_model
r25,-0.09318654488516787,observed_damping,0.9890334701863845,observed_damping,0.8958469253012167,3dssd+mask-rcnn,mask-rcnn
r50,-0.03332359879637403,observed_amplification,1.0241962292723006,observed_damping,0.9908726304759266,3dssd+mask-rcnn,mask-rcnn
r7p5,-0.0596526210469025,observed_amplification,1.017481091366155,observed_damping,0.9578284703192524,3dssd+mask-rcnn,mask-rcnn
r15,0.0480543639751595,observed_damping,0.9701572124453223,observed_amplification,1.0182115764204818,3dssd+vit-upernet,3dssd
r25,0.015974192181954616,observed_damping,0.9815952110764458,observed_damping,0.9975694032584004,3dssd+vit-upernet,3dssd
r50,-0.000302896053653412,observed_damping,0.9852862012109075,observed_damping,0.9849833051572541,3dssd+vit-upernet,3dssd
r7p5,0.011525229314389818,observed_damping,0.9719233700671996,observed_damping,0.9834485993815895,3dssd+vit-upernet,3dssd
r15,0.04096926770850917,observed_amplification,1.0011244822006282,observed_amplification,1.0420937499091374,3dssd+vit-upernet,vit-upernet
r25,-0.049345760998052435,observed_amplification,1.020464474618354,observed_damping,0.9711187136203016,3dssd+vit-upernet,vit-upernet
r50,-0.016735413557014578,observed_amplification,1.0337448332950652,observed_amplification,1.0170094197380506,3dssd+vit-upernet,vit-upernet
r7p5,-0.0603755530802802,observed_amplification,1.0107116559547882,observed_damping,0.950336102874508,3dssd+vit-upernet,vit-upernet
r15,0.24857160088205288,observed_damping,0.9612311327894627,observed_amplification,1.2098027336715156,3dssd+yolov3,3dssd
r25,0.11196157324945244,observed_damping,0.9834418592348143,observed_amplification,1.0954034324842667,3dssd+yolov3,3dssd
r50,0.12948909693579047,observed_amplification,1.0082316586992708,observed_amplification,1.1377207556350613,3dssd+yolov3,3dssd
r7p5,0.12953951323430224,observed_damping,0.9416182049564916,observed_amplification,1.0711577181907939,3dssd+yolov3,3dssd
r15,0.09296085889149563,observed_amplification,1.0098978899866615,observed_amplification,1.1028587488781572,3dssd+yolov3,yolov3
r25,-0.011525928936205299,observed_damping,0.9969015393467202,observed_damping,0.9853756104105149,3dssd+yolov3,yolov3
r50,0.07436537457509007,observed_amplification,1.0398559921557204,observed_amplification,1.1142213667308105,3dssd+yolov3,yolov3
r7p5,0.042063131962137845,observed_amplification,1.007573757248035,observed_amplification,1.0496368892101728,3dssd+yolov3,yolov3
r15,0.028201006366717074,observed_damping,0.958994531268844,observed_damping,0.9871955376355611,centerpoint+deeplabv3plus,centerpoint
r25,-0.05137206266512484,observed_damping,0.9506846827554061,observed_damping,0.8993126200902812,centerpoint+deeplabv3plus,centerpoint
r50,-0.002280683873657763,observed_damping,0.9751262931840431,observed_damping,0.9728456093103853,centerpoint+deeplabv3plus,centerpoint
r7p5,0.06625499235071741,observed_damping,0.9459808551254025,observed_amplification,1.01223584747612,centerpoint+deeplabv3plus,centerpoint
r15,-0.06464326723371938,observed_damping,0.9855612473507702,observed_damping,0.9209179801170508,centerpoint+deeplabv3plus,deeplabv3plus
r25,-0.0815408654815758,observed_amplification,1.0156115782721216,observed_damping,0.9340707127905458,centerpoint+deeplabv3plus,deeplabv3plus
r50,-0.06384856163800823,observed_damping,0.9849176177024133,observed_damping,0.921069056064405,centerpoint+deeplabv3plus,deeplabv3plus
r7p5,-0.07006398696465432,observed_damping,0.9942303035731992,observed_damping,0.9241663166085449,centerpoint+deeplabv3plus,deeplabv3plus
r15,0.12062707240121562,observed_damping,0.8326024312282063,observed_damping,0.9532295036294219,centerpoint+detr,centerpoint
r25,0.043763523580178765,observed_damping,0.9392156579952007,observed_damping,0.9829791815753794,centerpoint+detr,centerpoint
r50,0.01408994638163985,observed_damping,0.8700098276211266,observed_damping,0.8840997740027664,centerpoint+detr,centerpoint
r7p5,0.06768330580187265,observed_damping,0.855166450229196,observed_damping,0.9228497560310687,centerpoint+detr,centerpoint
r15,-0.10309903815426891,observed_damping,0.997654524944078,observed_damping,0.8945554867898091,centerpoint+detr,detr
r25,-0.10078508404630648,observed_amplification,1.0543766555954166,observed_damping,0.9535915715491101,centerpoint+detr,detr
r50,-0.14342669814469566,observed_amplification,1.0457006706541483,observed_damping,0.9022739725094526,centerpoint+detr,detr
r7p5,-0.0998100803771067,observed_amplification,1.0181150478794758,observed_damping,0.9183049675023691,centerpoint+detr,detr
r15,0.35658501751778204,observed_damping,0.6112922073501428,observed_damping,0.9678772248679248,centerpoint+dino,centerpoint
r25,0.3679010097355201,observed_damping,0.6319489790661228,observed_damping,0.9998499888016429,centerpoint+dino,centerpoint
r50,-0.006060752701970262,observed_damping,0.9724489074143792,observed_damping,0.9663881547124089,centerpoint+dino,centerpoint
r7p5,0.024662986996209724,observed_damping,0.9641481262194469,observed_damping,0.9888111132156566,centerpoint+dino,centerpoint
r15,-0.05969226094315794,observed_amplification,1.0060125183572781,observed_damping,0.9463202574141202,centerpoint+dino,dino
r25,-0.07988174061036635,observed_amplification,1.0246735054349871,observed_damping,0.9447917648246208,centerpoint+dino,dino
r50,-0.08226699457634445,observed_amplification,1.020764652025247,observed_damping,0.9384976574489025,centerpoint+dino,dino
r7p5,-0.014164625133996633,observed_amplification,1.0128753625750058,observed_damping,0.9987107374410091,centerpoint+dino,dino
r15,0.17660232827660827,observed_damping,0.8921155977825095,observed_amplification,1.0687179260591178,centerpoint+faster-rcnn,centerpoint
r25,0.1372404551932297,observed_damping,0.8828770483103395,observed_amplification,1.0201175035035692,centerpoint+faster-rcnn,centerpoint
r50,0.09843198779769369,observed_damping,0.9258466056477738,observed_amplification,1.0242785934454675,centerpoint+faster-rcnn,centerpoint
r7p5,0.06185994674598483,observed_damping,0.9406763277702299,observed_amplification,1.0025362745162147,centerpoint+faster-rcnn,centerpoint
