model_pair,model,modality,condition,condition_id,rain_rate_mm_per_hour,inference_time_range_p0_p99_ms,p0_ms,p99_ms,max_ms,min_ms,mean_ms,number_of_frames_executed,median_ms,p25_ms,p75_ms
centerpoint+dino,dino,image,7.5 mm/h,r7p5,7.5,64.434,67.336,131.770,133.222,67.336,91.850,383,91.385,69.972,108.171
centerpoint+dino,centerpoint,lidar,15 mm/h,r15,15.0,136.124,129.702,265.826,269.435,129.702,230.039,159,226.807,217.846,246.503
centerpoint+dino,dino,image,15 mm/h,r15,15.0,61.054,66.651,127.705,132.329,66.651,91.215,383,90.143,69.640,107.918
centerpoint+dino,centerpoint,lidar,25 mm/h,r25,25.0,140.620,132.384,273.004,273.710,132.384,233.293,157,227.091,218.160,252.536
centerpoint+dino,dino,image,25 mm/h,r25,25.0,60.956,68.238,129.193,135.815,68.238,92.509,378,91.148,70.133,108.249
centerpoint+dino,centerpoint,lidar,50 mm/h,r50,50.0,135.914,132.477,268.391,270.512,132.477,229.958,159,225.445,215.936,247.693
centerpoint+dino,dino,image,50 mm/h,r50,50.0,60.550,67.661,128.211,131.764,67.661,91.641,381,90.314,69.636,108.225
centerpoint+faster-rcnn,centerpoint,lidar,Clear,clear,0.0,71.271,137.676,208.947,212.194,137.676,185.004,195,184.404,177.387,195.924
centerpoint+faster-rcnn,faster-rcnn,image,Clear,clear,0.0,51.433,35.810,87.243,87.752,35.810,53.534,457,51.568,37.020,64.959
centerpoint+faster-rcnn,centerpoint,lidar,7.5 mm/h,r7p5,7.5,71.452,131.357,202.808,205.808,131.357,178.882,202,178.311,169.575,192.194
centerpoint+faster-rcnn,faster-rcnn,image,7.5 mm/h,r7p5,7.5,48.028,35.513,83.542,84.089,35.513,51.762,458,48.020,37.073,62.957
centerpoint+faster-rcnn,centerpoint,lidar,15 mm/h,r15,15.0,76.168,131.173,207.342,208.366,131.173,177.690,203,178.452,167.727,192.846
centerpoint+faster-rcnn,faster-rcnn,image,15 mm/h,r15,15.0,47.449,35.661,83.111,83.753,35.661,51.882,454,48.510,37.071,59.864
centerpoint+faster-rcnn,centerpoint,lidar,25 mm/h,r25,25.0,72.705,132.354,205.059,207.768,132.354,178.473,201,177.974,170.540,189.784
centerpoint+faster-rcnn,faster-rcnn,image,25 mm/h,r25,25.0,46.959,35.994,82.953,85.807,35.994,52.386,456,49.133,37.094,63.909
centerpoint+faster-rcnn,centerpoint,lidar,50 mm/h,r50,50.0,73.001,132.559,205.561,207.362,132.559,179.743,200,179.102,171.358,192.373
centerpoint+faster-rcnn,faster-rcnn,image,50 mm/h,r50,50.0,48.631,35.539,84.170,85.150,35.539,52.681,457,50.249,37.258,64.253
centerpoint+mask-rcnn,centerpoint,lidar,Clear,clear,0.0,112.211,147.137,259.348,262.779,147.137,225.579,161,229.056,217.209,237.516
centerpoint+mask-rcnn,mask-rcnn,image,Clear,clear,0.0,57.091,47.257,104.348,139.255,47.257,71.159,455,70.366,53.858,89.169
centerpoint+mask-rcnn,centerpoint,lidar,7.5 mm/h,r7p5,7.5,115.328,131.323,246.651,250.929,131.323,211.106,172,214.962,198.102,226.198
centerpoint+mask-rcnn,mask-rcnn,image,7.5 mm/h,r7p5,7.5,54.521,46.044,100.565,136.141,46.044,68.372,456,68.244,52.882,82.357
centerpoint+mask-rcnn,centerpoint,lidar,15 mm/h,r15,15.0,113.949,132.847,246.796,250.835,132.847,213.862,170,219.094,201.861,229.072
centerpoint+mask-rcnn,mask-rcnn,image,15 mm/h,r15,15.0,53.636,46.039,99.675,171.493,46.039,69.819,455,70.097,53.293,84.258
centerpoint+mask-rcnn,centerpoint,lidar,25 mm/h,r25,25.0,112.371,131.340,243.711,244.851,131.340,213.630,170,221.458,201.814,229.765
centerpoint+mask-rcnn,mask-rcnn,image,25 mm/h,r25,25.0,54.465,46.299,100.765,182.546,46.299,69.585,454,69.130,53.461,83.341
centerpoint+mask-rcnn,centerpoint,lidar,50 mm/h,r50,50.0,109.928,131.492,241.420,249.530,131.492,214.657,170,220.893,202.487,228.575
centerpoint+mask-rcnn,mask-rcnn,image,50 mm/h,r50,50.0,55.539,46.446,101.985,150.193,46.446,69.688,455,69.252,52.940,83.951
centerpoint+vit-upernet,centerpoint,lidar,Clear,clear,0.0,70.225,137.614,207.839,210.004,137.614,184.128,196,183.803,176.509,195.326
centerpoint+vit-upernet,vit-upernet,image,Clear,clear,0.0,49.717,36.143,85.860,87.153,36.143,54.071,457,53.261,37.110,67.763
centerpoint+vit-upernet,centerpoint,lidar,7.5 mm/h,r7p5,7.5,70.713,132.406,203.119,204.213,132.406,175.951,205,175.771,166.126,188.865
centerpoint+vit-upernet,vit-upernet,image,7.5 mm/h,r7p5,7.5,45.706,35.774,81.480,82.819,35.774,52.682,458,51.116,36.866,66.899
centerpoint+vit-upernet,centerpoint,lidar,15 mm/h,r15,15.0,76.765,129.619,206.384,210.507,129.619,173.895,206,172.983,165.040,186.172
centerpoint+vit-upernet,vit-upernet,image,15 mm/h,r15,15.0,46.660,35.597,82.257,84.047,35.597,52.004,457,49.551,36.661,64.623
centerpoint+vit-upernet,centerpoint,lidar,25 mm/h,r25,25.0,74.956,130.846,205.801,206.467,130.846,178.081,202,177.777,168.560,191.340
centerpoint+vit-upernet,vit-upernet,image,25 mm/h,r25,25.0,47.314,35.952,83.266,83.786,35.952,53.157,457,51.348,37.199,64.941
centerpoint+vit-upernet,centerpoint,lidar,50 mm/h,r50,50.0,71.466,132.823,204.289,206.064,132.823,177.981,202,176.641,167.599,192.022
centerpoint+vit-upernet,vit-upernet,image,50 mm/h,r50,50.0,47.268,35.919,83.187,84.715,35.919,53.187,457,51.062,37.351,67.160
centerpoint+yolov3,centerpoint,lidar,Clear,clear,0.0,20.637,136.395,157.032,157.868,136.395,145.360,243,145.534,142.211,147.889
centerpoint+yolov3,yolov3,image,Clear,clear,0.0,47.234,9.140,56.374,65.376,9.140,20.339,457,12.377,10.030,25.455
centerpoint+yolov3,centerpoint,lidar,7.5 mm/h,r7p5,7.5,19.093,129.397,148.490,151.160,129.397,139.642,253,139.420,136.718,142.340
centerpoint+yolov3,yolov3,image,7.5 mm/h,r7p5,7.5,44.288,8.923,53.211,54.177,8.923,20.697,457,13.124,10.267,25.535
centerpoint+yolov3,centerpoint,lidar,15 mm/h,r15,15.0,19.232,130.616,149.848,152.614,130.616,139.659,252,139.116,136.534,142.758
centerpoint+yolov3,yolov3,image,15 mm/h,r15,15.0,44.572,8.637,53.209,54.734,8.637,21.234,457,12.745,9.974,26.917
centerpoint+yolov3,centerpoint,lidar,25 mm/h,r25,25.0,17.113,131.092,148.205,150.721,131.092,139.622,252,139.744,136.542,142.691
centerpoint+yolov3,yolov3,image,25 mm/h,r25,25.0,42.888,8.930,51.818,54.234,8.930,21.007,457,13.805,10.316,26.106
centerpoint+yolov3,centerpoint,lidar,50 mm/h,r50,50.0,19.517,129.865,149.381,152.663,129.865,139.110,254,138.679,136.248,142.347
centerpoint+yolov3,yolov3,image,50 mm/h,r50,50.0,43.669,8.614,52.283,54.912,8.614,21.582,457,12.501,9.918,27.794
pointpillars+deeplabv3plus,pointpillars,lidar,Clear,clear,0.0,55.681,28.672,84.353,89.475,28.672,49.745,714,53.699,30.693,64.041
pointpillars+deeplabv3plus,deeplabv3plus,image,Clear,clear,0.0,12.382,40.278,52.660,53.509,40.278,47.277,457,48.557,43.278,50.638
pointpillars+deeplabv3plus,pointpillars,lidar,7.5 mm/h,r7p5,7.5,53.503,27.713,81.215,94.018,27.713,49.250,712,51.747,30.504,64.031
pointpillars+deeplabv3plus,deeplabv3plus,image,7.5 mm/h,r7p5,7.5,13.085,40.284,53.369,53.966,40.284,46.926,458,48.433,42.870,50.114
pointpillars+deeplabv3plus,pointpillars,lidar,15 mm/h,r15,15.0,52.695,27.727,80.422,93.967,27.727,49.209,720,50.948,30.598,63.839
pointpillars+deeplabv3plus,deeplabv3plus,image,15 mm/h,r15,15.0,12.683,40.172,52.855,53.292,40.172,47.237,456,48.477,43.107,50.493
pointpillars+deeplabv3plus,pointpillars,lidar,25 mm/h,r25,25.0,50.044,27.482,77.526,90.581,27.482,48.785,717,49.110,30.349,63.562
pointpillars+deeplabv3plus,deeplabv3plus,image,25 mm/h,r25,25.0,12.414,40.182,52.596,53.574,40.182,46.975,457,48.243,42.969,50.193
pointpillars+deeplabv3plus,pointpillars,lidar,50 mm/h,r50,50.0,52.227,28.131,80.359,86.914,28.131,49.478,715,50.895,30.753,64.344
pointpillars+deeplabv3plus,deeplabv3plus,image,50 mm/h,r50,50.0,12.139,40.924,53.063,54.192,40.924,47.707,457,49.093,43.844,50.876
pointpillars+detr,pointpillars,lidar,Clear,clear,0.0,19.758,28.659,48.417,53.637,28.659,37.976,754,41.272,30.362,43.616
pointpillars+detr,detr,image,Clear,clear,0.0,12.788,23.834,36.621,48.185,23.834,28.137,455,26.096,25.407,30.440
pointpillars+detr,pointpillars,lidar,7.5 mm/h,r7p5,7.5,19.114,27.735,46.849,50.936,27.735,37.658,755,40.905,29.944,43.375
pointpillars+detr,detr,image,7.5 mm/h,r7p5,7.5,12.348,23.766,36.114,37.328,23.766,27.974,456,26.057,25.692,28.405
pointpillars+detr,pointpillars,lidar,15 mm/h,r15,15.0,19.821,28.373,48.194,66.119,28.373,38.132,751,41.562,30.370,43.594
pointpillars+detr,detr,image,15 mm/h,r15,15.0,12.918,24.143,37.060,38.154,24.143,28.210,457,26.119,25.731,29.634
pointpillars+detr,pointpillars,lidar,25 mm/h,r25,25.0,18.650,27.870,46.519,47.377,27.870,37.569,757,40.817,30.222,43.012
pointpillars+detr,detr,image,25 mm/h,r25,25.0,13.099,23.470,36.568,37.451,23.470,27.477,457,25.411,25.084,27.403
pointpillars+detr,pointpillars,lidar,50 mm/h,r50,50.0,19.859,27.883,47.742,49.984,27.883,37.474,755,40.642,30.085,42.801
pointpillars+detr,detr,image,50 mm/h,r50,50.0,12.419,23.906,36.325,37.307,23.906,27.599,457,25.554,25.044,27.928
pointpillars+dino,pointpillars,lidar,Clear,clear,0.0,49.290,28.994,78.283,79.493,28.994,61.839,587,66.065,50.775,72.423
pointpillars+dino,dino,image,Clear,clear,0.0,20.570,67.398,87.968,90.177,67.398,79.192,429,78.938,77.265,80.806
pointpillars+dino,pointpillars,lidar,7.5 mm/h,r7p5,7.5,49.100,28.184,77.284,79.187,28.184,59.828,600,63.832,48.068,71.456
pointpillars+dino,dino,image,7.5 mm/h,r7p5,7.5,19.533,67.068,86.601,89.320,67.068,79.517,417,79.553,77.854,81.042
