analysis_scope,condition_id,ecdf,latency_ms,mps_mode,pair_id,pass_index,segment_id,target_model
single-run exploratory descriptive,r25,0.3639291465378422,30.898525,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.36553945249597425,30.914212,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3671497584541063,30.919471,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3687600644122383,30.919843,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.37037037037037035,30.92934,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3719806763285024,30.939817,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.37359098228663445,30.998474,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3752012882447665,31.007899,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.37681159420289856,31.025778,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3784219001610306,31.048903,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.38003220611916266,31.092523,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.38164251207729466,31.096709,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3832528180354267,31.102441,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.38486312399355876,31.134943,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3864734299516908,31.145003,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.38808373590982287,31.149867,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3896940418679549,31.17768,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.391304347826087,31.185494,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.392914653784219,31.239607,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.394524959742351,31.292517,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3961352657004831,31.470671,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3977455716586151,31.489134,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.3993558776167472,31.500587,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.40096618357487923,31.520393,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4025764895330113,31.58677,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.40418679549114334,31.620844,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4057971014492754,31.642879,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4074074074074074,31.711778,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.40901771336553944,31.911453,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4106280193236715,32.025605,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.41223832528180354,32.107382,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4138486312399356,32.202606,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.41545893719806765,32.328754,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4170692431561997,32.350753,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.41867954911433175,32.564385,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.42028985507246375,32.589201,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4219001610305958,32.796304,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.42351046698872785,32.935623,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4251207729468599,33.153053,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.42673107890499196,33.62713,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.428341384863124,34.158337,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.42995169082125606,35.304545,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.43156199677938806,35.379875,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4331723027375201,35.87801,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.43478260869565216,37.381282,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4363929146537842,39.252778,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.43800322061191627,40.924876,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4396135265700483,41.016998,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.44122383252818037,41.437463,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4428341384863124,45.315991,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4444444444444444,46.663195,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.44605475040257647,47.520952,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4476650563607085,48.31457,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4492753623188406,50.967197,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.45088566827697263,53.092229,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4524959742351047,53.227456,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.45410628019323673,53.989207,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4557165861513688,54.699076,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4573268921095008,54.974519,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.45893719806763283,57.270568,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4605475040257649,57.420849,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.46215780998389694,57.995198,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.463768115942029,59.310343,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.46537842190016104,59.468927,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4669887278582931,60.564289,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.46859903381642515,61.220864,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.47020933977455714,61.495905,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4718196457326892,61.923921,off,pointpillars+vit-upernet,0,pass-0-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.47342995169082125,62.203206,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.4750402576489533,63.625131,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
single-run exploratory descriptive,r25,0.47665056360708535,63.778877,off,pointpillars+vit-upernet,1,pass-1-scene-0-bag-0,pointpillars
